claim_id,exact_wording,claim_type,supporting_source_artifact,numerator,denominator,scope_qualifier,prohibited_stronger_wording
T01,"The inferential target is the marked set of active physical rays modulo sign and child relabeling, not the coordinate support in one fitted dictionary.",interpretation,"current manuscript sections/03_problem.tex",,,"Fixed-dimensional supplied local collision model","The fitted coordinate support is always physically meaningless."
T02,"The exact cross-dictionary confidence correspondence has conditional test coverage at least 1-alpha_T with probability at least 1-alpha_D over training.",theorem,"current manuscript sections/04_method.tex; sections/05_main_results.tex",,,"Unknown-p fixed-shell class and certified training rectangle","The empirical controller inherits this exact conditional coverage theorem."
T03,"Residual child orientation enters the latent training law at cubic order in s and has nuisance-profiled information of order s^6.",theorem,"current manuscript sections/05_main_results.tex; appendices/A_main_proofs.tex",,,"Fixed exchangeable or Bernoulli-Gaussian law under frozen-shell assumptions","All dictionary-learning problems have an Ns^6 sample complexity."
T04,"The parent, support, and dictionary gates are governed by I_G^(r), I_S, and I_D=Ns^6, with no NT product gate asserted.",theorem,"current manuscript sections/05_main_results.tex",,,"Supplied fixed-shell train-test experiment","These three formulas govern every sparse-representation application."
T05,"After the parent and support gates open, the minimax physical resolution is s wedge 1/(sqrt(N)s^2) up to constants.",theorem,"current manuscript sections/05_main_results.tex",,,"Constant-factor fixed-shell resolved regime","A matching upper bound holds throughout every transition band or for unknown s."
T06,"The dictionary-gate lower bound persists when an oracle reveals the hierarchy, shell, sheet, support, coefficients, noise levels, and all nonorientation nuisance parameters.",theorem,"current manuscript sections/05_main_results.tex",,,"Centered-core compensated path","Unknown hierarchy or scale is irrelevant in all models."
T07,"For general r the task conclusion is local efficient information; a finite matching train-test rate is proved only on the declared one-dimensional orbit.",theorem,"current manuscript sections/05_main_results.tex",,,"Centered core plus the stated orbit and secant assumptions","A global finite general-r task theorem."
T08,"For two active atoms, nonzero amplitude contrast opens a profiled test secant, while the equal-coefficient compensated slice is test-invariant for every T.",theorem,"current manuscript sections/02_collision.tex; sections/05_main_results.tex",,,"Declared two-atom orbit and coefficient shell","More test replication always resolves dictionary uncertainty."
C01,"AEB maintains a witnessed admissible lower set and a possible upper set on a frozen finite candidate bank and emits a positive label only when the finite-bank bounds certify it; otherwise it abstains.",computational,"B11_GLOBAL_FINAL_EVIDENCE.zip; FORMAL_B2_FINAL_EVIDENCE.zip",,,"Frozen finite banks and frozen policies","AEB computes or outer-approximates the full continuous confidence correspondence."
C02,"Query reduction is an observed property of the frozen banks and budgets, not a worst-case complexity theorem.",computational,"b11/operational_controller_metrics.csv; formal_b2/primary_budget_metrics.json",,,"Finite-bank empirical query fractions","Polynomial-time, sublinear-query, or continuous-space complexity guarantee."
E01,"B1.1 completed 18 finite-bank cases and audited 54 sealed global-controller traces.",empirical,"b11/FINAL_AUDIT_REPORT.md; b11/terminal_status.json",18,18,"Three information conditions and three operating profiles","Validation of local outputs, real data, or continuous completeness."
E02,"B1.1 observed zero structural unsafe decisions and zero trace-prefix bound violations.",empirical,"b11/combined_safety_audit.json",0,,"All 54 global finite-bank traces; the bound count is over audited trace prefixes and is not reported as 0/54","An exact selective-risk theorem or zero population error."
E03,"At budget 0.50 the global controller recalled 33 of 34 oracle-ambiguous traces and had median query fraction 0.2088.",empirical,"b11/operational_controller_metrics.csv",33,34,"Frozen pooled B1.1 budget 0.50","Fine-resolution validation at budget 0.50."
E04,"At budget 0.75 the global controller was safe on 20 of 20 oracle-nonambiguous traces, recalled 5 of 7 oracle-FINE traces, and had median query fraction 0.2088.",empirical,"b11/operational_controller_metrics.csv",20,20,"Frozen pooled B1.1 budget 0.75; FINE recall has separate 5/7 denominator","Universal safety or recall outside the frozen bank."
E05,"Formal B2 passed all frozen safety, coverage, utility, and cost gates in one persistent-plus-optional synthetic four-region application.",empirical,"formal_b2/formal_adjudication.json; formal_b2/FINAL_AUDIT_REPORT.md",15,15,"72 dictionary states x AB/ABC/ABD = 216 explanations","Real-data or arbitrary-application validation."
E06,"Formal B2 observed 0/56 unsafe outputs, 0/15 possible-set violations, 0/2088 completed-prefix bound violations, and 0/3 false D-absence controls.",empirical,"formal_b2/contract_faithful_safety_audit.json; paper_export/b2f03_safety_closure_summary.json",0,56,"Four distinct denominators; 2088 uses 14 completed validations","Use of legacy safety nulls or claim that P05 had a completed bound validation."
E07,"Formal B2 completed 11/12 main exact oracles and 3/3 control exact oracles.",empirical,"formal_b2/primary_budget_metrics.json",11,12,"One main weak-C case had an administrative empty profile","Imputing a physical map or oracle result for P05."
E08,"The application controller recalled A FINE in 10/11 eligible cases, B SECTOR_SAFE in 5/5, C ambiguity in 5/5, and D absence above beta-min in 10/10.",empirical,"formal_b2/primary_budget_metrics.json",10,11,"Each region has its own conditional denominator","Unconditional 100% recovery or absence below the beta-min threshold."
E09,"The plug-in baseline was falsely FINE for B in 5/5 eligible exact-sector weak cases and falsely certain for C in 5/5 eligible exact-ambiguous weak cases.",empirical,"formal_b2/plugin_false_precision_metrics.json",5,5,"Eligible weak-C cases in the frozen application","General inferiority of all plug-in sparse solvers."
E10,"The Formal B2 median primary query count was 148/216; the 108-query result is a descriptive prefix of the same traces, not a separate run.",empirical,"formal_b2/primary_budget_metrics.json; formal_b2/secondary_budget_metrics.json",148,216,"Frozen primary cap 162 and descriptive prefix 108","A universal 31.5% computational saving or a secondary-controller experiment."
I01,"P05 is an administrative empty profile with native status ORACLE_EMPTY_PROFILE_INCOMPLETE and a null physical map.",interpretation,"formal_b2/paper_export/B2F03_EMPTY_PROFILE_DISCLOSURE.md",1,15,"Excluded from truth-relative utility and completed bound validation; included in query cost and all-trace possible-set audit","Timeout, all regions absent, or a valid fallback physical label."
E11,"The theorem-native exact-mixture calculation gives a Jeffreys s-exponent 5.9355 but remains HOLD because the median product-affinity spread was 0.0166976 against 0.015.",empirical,"original_experiment/results/adjudication.json; THREE_GATE_SIMULATION_ADJUDICATION.md",,,"Scoped numerical illustration only","Confirmatory PASS, full-correspondence validation, scalable computation, or application transfer."
I02,"The fixed synthetic application shows how isolated, coherent, weak optional, and detectable optional components can require different output resolutions.",interpretation,"formal_b2/primary_budget_metrics.json; representative_examples.json",,,"One frozen sensor-response library","A universal taxonomy for physical sources."
