claim_id,exact_wording,claim_type,supporting_source_artifact,numerator,denominator,scope_qualifier,prohibited_stronger_wording,canonical_artifact_path,canonical_field_key,rendered_macro_table_figure_location,validation_status
T01,"The inferential target is the marked set of active physical rays modulo sign and child relabeling, not the coordinate support in one fitted dictionary.",interpretation,current manuscript sections/03_problem.tex,,,Fixed-dimensional supplied local collision model,The fitted coordinate support is always physically meaningless.,theory/canonical_theorem_claims.yaml,claims.T01,M1 Sections 2--3,PASS_UNIQUE_MAPPING
T02,The exact cross-dictionary confidence correspondence has conditional test coverage at least 1-alpha_T with probability at least 1-alpha_D over training.,theorem,current manuscript sections/04_method.tex; sections/05_main_results.tex,,,Unknown-p fixed-shell class and certified training rectangle,The empirical controller inherits this exact conditional coverage theorem.,theory/canonical_theorem_claims.yaml; theory/theorem_numeric_macros.tex,claims.T02; TrainingConditionalCoverage,M1 Section 3,PASS_UNIQUE_MAPPING
T03,Residual child orientation enters the latent training law at cubic order in s and has nuisance-profiled information of order s^6.,theorem,current manuscript sections/05_main_results.tex; appendices/A_main_proofs.tex,,,Fixed exchangeable or Bernoulli-Gaussian law under frozen-shell assumptions,All dictionary-learning problems have an Ns^6 sample complexity.,theory/canonical_theorem_claims.yaml,claims.T03,M1 Section 4,PASS_UNIQUE_MAPPING
T04,"The parent, support, and dictionary gates are governed by I_G^(r), I_S, and I_D=Ns^6, with no NT product gate asserted.",theorem,current manuscript sections/05_main_results.tex,,,Supplied fixed-shell train-test experiment,These three formulas govern every sparse-representation application.,theory/theorem_numeric_macros.tex,ParentInformationGate; SupportInformationGate; DictionaryInformationGate,paper/tables/theory_to_output_map.csv,PASS_UNIQUE_MAPPING
T05,"After the parent and support gates open, the minimax physical resolution is s wedge 1/(sqrt(N)s^2) up to constants.",theorem,current manuscript sections/05_main_results.tex,,,Constant-factor fixed-shell resolved regime,A matching upper bound holds throughout every transition band or for unknown s.,theory/theorem_numeric_macros.tex,ResolvedPhysicalSupportRate,paper/tables/theory_to_output_map.csv,PASS_UNIQUE_MAPPING
T06,"The dictionary-gate lower bound persists when an oracle reveals the hierarchy, shell, sheet, support, coefficients, noise levels, and all nonorientation nuisance parameters.",theorem,current manuscript sections/05_main_results.tex,,,Centered-core compensated path,Unknown hierarchy or scale is irrelevant in all models.,theory/canonical_theorem_claims.yaml,claims.T06,M1 Section 4,PASS_UNIQUE_MAPPING
T07,For general r the task conclusion is local efficient information; a finite matching train-test rate is proved only on the declared one-dimensional orbit.,theorem,current manuscript sections/05_main_results.tex,,,Centered core plus the stated orbit and secant assumptions,A global finite general-r task theorem.,theory/theorem_numeric_macros.tex,TaskEfficientInformation; TaskPhysicalSupportRate,M1 Section 4,PASS_UNIQUE_MAPPING
T08,"For two active atoms, nonzero amplitude contrast opens a profiled test secant, while the equal-coefficient compensated slice is test-invariant for every T.",theorem,current manuscript sections/02_collision.tex; sections/05_main_results.tex,,,Declared two-atom orbit and coefficient shell,More test replication always resolves dictionary uncertainty.,theory/theorem_numeric_macros.tex,TwoAtomAmplitudeCrossover,M1 Section 4,PASS_UNIQUE_MAPPING
C01,AEB maintains a witnessed admissible lower set and a possible upper set on a frozen finite candidate bank and emits a positive label only when the finite-bank bounds certify it; otherwise it abstains.,computational,B11_GLOBAL_FINAL_EVIDENCE.zip; FORMAL_B2_FINAL_EVIDENCE.zip,,,Frozen finite banks and frozen policies,AEB computes or outer-approximates the full continuous confidence correspondence.,b11_global/safety_metrics.json; formal_b2/safety_closure_metrics.json,finite-bank certificate safety,M1 Section 5,PASS_UNIQUE_MAPPING
C02,"Query reduction is an observed property of the frozen banks and budgets, not a worst-case complexity theorem.",computational,b11/operational_controller_metrics.csv; formal_b2/primary_budget_metrics.json,,,Finite-bank empirical query fractions,"Polynomial-time, sublinear-query, or continuous-space complexity guarantee.",b11_global/budget_metrics.csv; formal_b2/primary_budget_metrics.json,query fractions,paper/tables/b11_global_validation.csv; paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
E01,B1.1 completed 18 finite-bank cases and audited 54 sealed global-controller traces.,empirical,b11/FINAL_AUDIT_REPORT.md; b11/terminal_status.json,18,18,Three information conditions and three operating profiles,"Validation of local outputs, real data, or continuous completeness.",b11_global/canonical_summary.json,completed_finite_bank_cases; sealed_global_controller_traces,paper/tables/b11_global_validation.csv,PASS_UNIQUE_MAPPING
E02,B1.1 observed zero structural unsafe decisions and zero trace-prefix bound violations.,empirical,b11/combined_safety_audit.json,0,,All 54 global finite-bank traces; the bound count is over audited trace prefixes and is not reported as 0/54,An exact selective-risk theorem or zero population error.,b11_global/safety_metrics.json,structural_unsafe_count; bound_violation_count,M1 Section 6.2,PASS_UNIQUE_MAPPING
